team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
Abilene Christian,34.0,-1.12,72.12,73.53,40.44,25.32,58.44,0.01,5.29,15.59,16.18,22.26,9.68,12.76
Air Force,31.0,1.43,66.16,72.35,40.32,23.45,51.74,0.01,8.81,24.42,10.45,15.32,7.26,12.0
Akron NCAA,35.0,-2.08,73.63,66.17,40.14,26.14,57.66,0.01,8.0,24.66,13.34,18.34,10.37,11.26
Alabama NCAA,37.0,11.80,90.14,81.24,40.27,30.7,64.46,0.01,11.16,29.95,17.57,22.76,12.76,11.84
Alabama A&M,35.0,-7.52,68.97,75.8,40.14,23.03,54.8,0.01,4.23,14.74,18.69,25.89,11.26,16.14
Alabama State,32.0,-6.87,68.59,69.41,40.72,24.12,65.22,0.01,6.97,24.78,13.38,18.5,14.16,11.28
Albany (NY),32.0,-5.22,78.66,78.78,40.16,28.69,64.34,0.01,7.81,23.66,13.47,18.56,11.38,13.28
Alcorn State,32.0,-5.61,71.88,77.41,40.16,25.56,57.84,0.01,5.19,15.38,15.56,21.84,11.25,11.56
American,32.0,-8.79,68.75,68.0,40.34,24.44,54.38,0.01,8.72,24.81,11.09,15.38,8.97,10.84
Appalachian State,34.0,-2.34,78.38,67.15,40.88,29.32,61.76,0.01,6.59,19.82,13.15,19.32,10.97,10.74
Arizona NCAA,36.0,9.45,87.14,72.06,40.69,31.22,64.47,0.01,7.89,21.56,16.81,23.44,13.08,11.94
Arizona State,32.0,9.55,69.03,74.0,40.16,24.72,59.41,0.01,6.72,22.38,12.88,19.66,8.41,10.47
Arkansas,33.0,8.15,77.76,79.79,40.61,26.03,57.52,0.01,6.03,18.94,19.67,26.03,8.52,11.97
Arkansas State,37.0,-1.53,78.84,77.03,40.14,27.59,62.51,0.01,9.22,26.78,14.43,20.57,13.22,11.19
Arkansas-Pine Bluff,31.0,-7.60,80.1,81.81,40.0,26.23,58.74,0.01,10.87,28.97,16.77,22.0,8.42,13.32
Army,32.0,-8.93,60.31,64.34,40.47,22.09,54.59,0.01,7.88,24.62,8.25,14.03,9.62,12.16
Auburn NCAA,35.0,7.66,83.11,68.31,40.0,28.86,60.6,0.01,8.0,22.71,17.4,23.2,11.23,10.69
Austin Peay,35.0,-4.85,74.83,73.17,40.71,26.89,60.14,0.01,7.91,21.94,13.14,18.63,10.8,8.8
Ball State,31.0,-5.93,73.55,70.97,40.48,24.81,55.68,0.01,7.48,20.68,16.45,21.45,9.48,12.06
Baylor NCAA,35.0,10.71,80.4,71.11,40.86,27.63,57.17,0.01,8.6,22.09,16.54,22.6,11.4,12.03
Bellarmine,31.0,-2.47,69.45,74.84,40.32,25.71,59.26,0.01,7.68,22.52,10.35,13.29,7.9,9.58
Belmont,33.0,1.44,77.88,75.55,40.15,27.94,58.76,0.01,9.12,24.58,12.88,17.82,7.18,12.18
Bethune-Cookman,34.0,-8.87,72.91,72.56,40.44,25.29,58.65,0.01,5.85,18.24,16.47,21.82,10.47,13.85
Binghamton,30.0,-5.21,72.1,72.23,40.33,26.7,57.93,0.02,5.47,17.87,13.23,19.83,10.43,12.2
Boise State NCAA,33.0,7.35,75.12,67.3,40.3,26.0,57.97,0.01,7.82,23.0,15.3,20.79,11.64,11.09
Boston College,36.0,7.25,74.08,71.86,40.28,27.28,59.86,0.01,8.31,22.94,11.22,14.97,9.39,10.44
Boston University,33.0,-8.49,66.45,66.61,40.45,23.27,56.24,0.01,7.7,23.12,12.21,17.03,9.36,11.64
Bowling Green State,34.0,-5.52,73.59,71.0,40.74,25.94,60.15,0.01,6.35,21.47,15.35,21.47,11.35,11.53
Bradley,35.0,2.96,74.06,67.09,40.43,26.94,57.11,0.01,8.74,23.86,11.43,15.71,9.26,12.09
Brigham Young NCAA,34.0,7.86,81.41,69.94,40.0,29.18,63.38,0.01,11.12,31.97,11.94,16.09,11.91,10.71
Brown,31.0,-1.73,71.35,71.84,40.68,25.23,58.65,0.01,8.19,24.03,12.71,19.45,11.84,12.42
Bryant,33.0,-3.54,78.73,75.39,40.3,28.91,63.24,0.01,8.27,24.42,12.64,18.88,7.85,11.91
Bucknell,33.0,-6.39,65.24,67.18,40.45,22.97,53.64,0.01,8.15,24.09,11.15,15.58,8.36,12.27
Buffalo,31.0,-2.82,68.0,79.71,40.16,24.84,59.03,0.01,6.68,24.06,11.65,16.26,10.42,14.52
Butler,33.0,9.49,77.09,73.7,40.91,27.94,61.7,0.01,8.36,23.58,12.85,16.24,9.33,10.94
Cal Poly,32.0,-2.28,63.66,74.09,40.47,22.47,55.56,0.01,6.19,18.69,12.53,17.78,8.84,12.66
Cal State Bakersfield,32.0,-2.17,68.72,69.19,40.47,25.22,58.16,0.01,4.69,14.88,13.59,18.81,11.94,12.16
Cal State Fullerton,32.0,-1.15,67.88,69.12,40.16,23.12,53.66,0.01,6.47,19.59,15.16,21.41,8.41,12.28
Cal State Northridge,34.0,-4.13,75.03,73.62,40.15,27.65,60.74,0.01,4.85,15.79,14.88,22.26,11.82,14.15
California,32.0,8.00,73.97,77.03,40.94,26.03,61.88,0.01,8.78,25.97,13.12,18.06,10.72,11.56
California Baptist,33.0,-2.26,67.33,66.58,40.3,23.09,56.27,0.01,6.67,20.42,14.48,21.21,12.03,11.88
Campbell,32.0,-5.66,71.0,72.09,40.47,25.19,54.38,0.01,7.25,21.03,13.38,18.44,7.69,11.97
Canisius,32.0,-4.89,70.38,72.09,40.31,26.28,59.69,0.01,7.25,21.56,10.56,16.91,12.0,13.5
Central Arkansas,32.0,-5.64,72.16,78.19,40.16,25.53,61.41,0.01,8.0,23.34,13.09,17.69,11.22,12.72
Central Connecticut State,31.0,-10.15,72.16,66.48,40.32,26.13,58.0,0.01,6.71,20.81,13.19,18.61,9.61,11.26
